country,date,total
China,2020-12-1,4500000 
China,2021-01-1,24000000 
China,2021-02-1,52520000 
China,2021-03-1,119821000 
China,2021-04-1,265064000 
China,2021-05-1,661468000 
China,2021-06-1,1244675000 
China,2021-07-1,1652819000 
China,2021-08-1,2067589000 
China,2021-09-1,2156938000 
England,31-12-2020,1086349 
England,31-01-2021,8543262 
England,28-02-2021,17812739 
England,31-03-2021,29973324 
England,30-04-2021,41277728 
England,31-05-2021,54883579 
England,30-06-2021,65394783 
England,31-07-2021,71308628 
England,31-08-2021,76212080 
England,13-09-2021,77567013 
Germany,31-12-2020,207181 
Germany,31-01-2021,2540687 
Germany,28-02-2021,6329153 
Germany,31-03-2021,14203808 
Germany,30-04-2021,29766246 
Germany,31-05-2021,50817256 
Germany,30-06-2021,75556683 
Germany,31-07-2021,92794259 
Germany,31-08-2021,102030144 
Germany,14-09-2021,104592813 
India,31-01-2021,3758843 
India,28-02-2021,14301266 
India,31-03-2021,65117896 
India,30-04-2021,151998107 
India,31-05-2021,210449895 
India,30-06-2021,329158139 
India,30-07-2021,461518479 
India,31-08-2021,644799225 
India,14-09-2021,752714069 
United Kingdom,31-01-2021,9790576 
United Kingdom,28-02-2021,21091267 
United Kingdom,31-03-2021,35660902 
United Kingdom,30-04-2021,49319518 
United Kingdom,31-05-2021,65211877 
United Kingdom,30-06-2021,77909177 
United Kingdom,31-07-2021,85138553 
United Kingdom,31-08-2021,90997895 
United Kingdom,13-09-2021,92567446 
United States,31-01-2021,31123299 
United States,28-02-2021,75236003 
United States,31-03-2021,150273292 
United States,30-04-2021,240159677 
United States,30-05-2021,294928850 
United States,30-06-2021,326521526 
United States,31-07-2021,345640466 
United States,31-08-2021,370212027 
United States,14-09-2021,381453265 
