date,total,ountry
Jan,807670000,China
Feb,1242400000,China
Mar,11324207000,China
Apr,56011180000,China
May,132401420000,China
Jun,285835360000,China
Jul,448124700000,China
Aug,581952320000,China
Sept,296830050000,China
Jan,283232060,India
Feb,2377621470,India
Mar,11660068610,India
Apr,30381301110,India
May,54325453010,India
Jun,79300554070,India
Jul,155934668110,India
Aug,155934668110,India
Sept,98896714530,India
Jan,3805422860,United States
Feb,14155241870,United States
Mar,34708630670,United States
Apr,59739431530,United States
May,81184360340,United States
Jun,93558757710,United States
Jul,101077513410,United States
Aug,110877365250,United States
Sept,45225438840,United States
Jan,114417040,Brazil
Feb,1488795370,Brazil
Mar,3490449930,Brazil
Apr,8129265940,Brazil
May,13481419420,Brazil
Jun,19660857080,Brazil
Jul,34510755310,Brazil
Aug,36852853330,Brazil
Sept,22485146820,Brazil
