country;date;total
Brazil,17/01/2021,1120;;
Brazil,18/01/2021,11090;;
Brazil,19/01/2021,114700;;
Brazil,20/01/2021,285430;;
Brazil,21/01/2021,1365190;;
Brazil;22/01/2021;2458770
Brazil;23/01/2021;5377740
Brazil;24/01/2021;6047220
Brazil;25/01/2021;7006080
Brazil;26/01/2021;8488830
Brazil;27/01/2021;11298850
Brazil;28/01/2021;14509000
Brazil;29/01/2021;16680320
Brazil;30/01/2021;20032110
Brazil;31/01/2021;20740590
Brazil;01/02/2021;21243070
Brazil;02/02/2021;22925510
Brazil;03/02/2021;25217040
Brazil;04/02/2021;30730570
Brazil;05/02/2021;30749060
Brazil;06/02/2021;34013830
Brazil;07/02/2021;35536810
Brazil;08/02/2021;36055380
Brazil;09/02/2021;38202070
Brazil;10/02/2021;41203320
Brazil;11/02/2021;44068350
Brazil;12/02/2021;46961360
Brazil;13/02/2021;51252060
Brazil;14/02/2021;52369430
Brazil;15/02/2021;52939790
Brazil;16/02/2021;56099370
Brazil;17/02/2021;58835390
Brazil;18/02/2021;62066800
Brazil;19/02/2021;65351560
Brazil;20/02/2021;68131680
Brazil;21/02/2021;69508020
Brazil;22/02/2021;70283560
Brazil;23/02/2021;72970610
Brazil;24/02/2021;75516760
Brazil;25/02/2021;77990000
Brazil;26/02/2021;81017870
Brazil;27/02/2021;83220420
Brazil;28/02/2021;84335680
Brazil;01/03/2021;84654030
Brazil;02/03/2021;88410270
Brazil;03/03/2021;92773220
Brazil;04/03/2021;97396760
Brazil;05/03/2021;101691600
Brazil;10/03/2021;103624870
Brazil;11/03/2021;107408590
Brazil;12/03/2021;111495300
Brazil;13/03/2021;113621900
Brazil;14/03/2021;114226660
Brazil;15/03/2021;118955600
Brazil;17/03/2021;126822900
Brazil;18/03/2021;130133310
Brazil;19/03/2021;133357280
Brazil;20/03/2021;134791650
Brazil;21/03/2021;135621760
Brazil;22/03/2021;141165600
Brazil;23/03/2021;152092010
Brazil;24/03/2021;159439640
Brazil;25/03/2021;165570710
Brazil;26/03/2021;170328680
Brazil;27/03/2021;175190830
Brazil;28/03/2021;177069830
Brazil;29/03/2021;180821530
Brazil;30/03/2021;182225590
Brazil;31/03/2021;191559810
Brazil;02/04/2021;206328770
Brazil;03/04/2021;209567700
Brazil;04/04/2021;210701280
Brazil;05/04/2021;219609530
Brazil;06/04/2021;228507910
Brazil;07/04/2021;241979960
Brazil;08/04/2021;249811990
Brazil;09/04/2021;257353140
Brazil;10/04/2021;265488450
Brazil;11/04/2021;267412610
Brazil;12/04/2021;274329940
Brazil;13/04/2021;308017230
Brazil;14/04/2021;317039670
Brazil;18/04/2021;329470660
Brazil;19/04/2021;337552290
Brazil;20/04/2021;338071320
Brazil;21/04/2021;340586400
Brazil;22/04/2021;350249570
Brazil;23/04/2021;371128330
Brazil;24/04/2021;377306510
Brazil;25/04/2021;380271130
Brazil;26/04/2021;389868780
Brazil;27/04/2021;401687990
Brazil;28/04/2021;410036590
Brazil;29/04/2021;419899570
Brazil;30/04/2021;426988620
Brazil;01/05/2021;430361790
Brazil;02/05/2021;431733560
Brazil;03/05/2021;439621590
Brazil;04/05/2021;452738250
Brazil;05/05/2021;461856890
Brazil;06/05/2021;465423920
Brazil;07/05/2021;468754600
Brazil;10/05/2021;473653480
Brazil;11/05/2021;481934720
Brazil;12/05/2021;491886080
Brazil;13/05/2021;503081060
Brazil;14/05/2021;520932420
Brazil;15/05/2021;526415830
Brazil;16/05/2021;527716680
Brazil;17/05/2021;536243280
Brazil;18/05/2021;543322400
Brazil;19/05/2021;550989130
Brazil;20/05/2021;559601520
Brazil;25/05/2021;637405570
Brazil;26/05/2021;645686090
Brazil;27/05/2021;652685760
Brazil;28/05/2021;664323410
Brazil;29/05/2021;669343630
Brazil;30/05/2021;670880460
Brazil;31/05/2021;674827300
Brazil;01/06/2021;682442160
Brazil;02/06/2021;689198600
Brazil;03/06/2021;703303000
Brazil;04/06/2021;707435310
Brazil;05/06/2021;714292570
Brazil;06/06/2021;716911370
Brazil;09/06/2021;748127940
Brazil;10/06/2021;758900970
Brazil;11/06/2021;767585870
Brazil;13/06/2021;781339380
Brazil;14/06/2021;789062250
Brazil;15/06/2021;802682070
Brazil;16/06/2021;815406020
Brazil;17/06/2021;841021550
Brazil;18/06/2021;853909960
Brazil;19/06/2021;864758420
Brazil;20/06/2021;869605700
Brazil;21/06/2021;883530630
Brazil;22/06/2021;900770110
Brazil;23/06/2021;915939680
Brazil;24/06/2021;929172740
Brazil;27/06/2021;968046640
Brazil;28/06/2021;969139290
Brazil;29/06/2021;988274850
Brazil;01/07/2021;1027800960
Brazil;04/07/2021;1053016110
Brazil;05/07/2021;1069092230
Brazil;06/07/2021;1076281770
Brazil;07/07/2021;1101018290
Brazil;08/07/2021;1114776910
Brazil;09/07/2021;1127743020
Brazil;11/07/2021;1144561830
Brazil;12/07/2021;1158321720
Brazil;13/07/2021;1170052290
Brazil;14/07/2021;1188866100
Brazil;15/07/2021;1208730060
Brazil;16/07/2021;1218024820
Brazil;17/07/2021;1237937350
Brazil;18/07/2021;1241139110
Brazil;19/07/2021;1249065150
Brazil;20/07/2021;1266432830
Brazil;21/07/2021;1284051290
Brazil;22/07/2021;1304322270
Brazil;23/07/2021;1315226630
Brazil;24/07/2021;1318452970
Brazil;25/07/2021;1319673870
Brazil;26/07/2021;1345396130
Brazil;27/07/2021;1365096870
Brazil;28/07/2021;1378807540
Brazil;29/07/2021;1400288260
Brazil;30/07/2021;1401692140
Brazil;31/07/2021;1424886790
Brazil;02/08/2021;1425594700
Brazil;03/08/2021;1455582640
Brazil;04/08/2021;1472146650
Brazil;06/08/2021;1494698030
Brazil;07/08/2021;1517113140
Brazil;08/08/2021;1529890380
Brazil;10/08/2021;1554321670
Brazil;11/08/2021;1576730920
Brazil;14/08/2021;1634526020
Brazil;15/08/2021;1646385730
Brazil;16/08/2021;1681575600
Brazil;17/08/2021;1697530030
Brazil;18/08/2021;1717411490
